gene_id,Symbol,Product_Description
PVP01_0001440,N/A,"Plasmodium.exported.protein.(PHIST),.unknown.function"
PVP01_0001450,N/A,PIR.protein
PVP01_0001460,N/A,PIR.protein
PVP01_0001470,N/A,PIR.protein
PVP01_0001480,N/A,"PIR.protein,.pseudogene"
PVP01_0001490,N/A,PIR.protein
PVP01_0001500,N/A,PIR.protein
PVP01_0001510,N/A,"PEP,UF,.pseudogene"
PVP01_0001520,N/A,"PEP,UF"
PVP01_0001530,N/A,"PEP,UF"
PVP01_0001540,N/A,"PEP,UF"
PVP01_0001550,N/A,PIR.protein
PVP01_0001560,N/A,PIR.protein
PVP01_0001570,N/A,PIR.protein
PVP01_0001580,N/A,PIR.protein
PVP01_0001590,N/A,PIR.protein
PVP01_0001600,N/A,PIR.protein
PVP01_0001610,N/A,"PEP,UF"
PVP01_0001620,N/A,"PEP,UF"
PVP01_0001630,N/A,PIR.protein
PVP01_0001640,N/A,PIR.protein
PVP01_0001650,N/A,PIR.protein
PVP01_0001660,N/A,PIR.protein
PVP01_0001670,N/A,"PIR.protein,.pseudogene"
PVP01_0001680,N/A,PIR.protein
PVP01_0001690,N/A,PIR.protein
PVP01_0001700,N/A,PIR.protein
PVP01_0001710,N/A,PIR.protein
PVP01_0001720,N/A,"PEP,UF"
PVP01_0001730,N/A,"PEP,UF"
PVP01_0001740,N/A,"PEP,UF"
PVP01_0001750,N/A,"PEP,UF"
PVP01_0001760,N/A,"PEP,UF"
PVP01_0001770,N/A,"PEP,UF"
PVP01_0001780,N/A,"PEP,UF"
PVP01_0001790,N/A,PIR.protein
PVP01_0001800,N/A,PIR.protein
PVP01_0001810,N/A,PIR.protein
PVP01_0001820,N/A,PIR.protein
PVP01_0001830,N/A,PIR.protein
PVP01_0001840,N/A,PIR.protein
PVP01_0001850,N/A,PIR.protein
PVP01_0001860,N/A,PIR.protein
PVP01_0001870,N/A,"PEP,UF"
PVP01_0001880,N/A,"PEP,UF"
PVP01_0001890,N/A,"PEP,UF"
PVP01_0001900,N/A,PIR.protein
PVP01_0001910,N/A,PIR.protein
PVP01_0001920,N/A,PIR.protein
PVP01_0001930,N/A,"PIR.protein,.pseudogene"
PVP01_0001940,N/A,PIR.protein
PVP01_0001950,N/A,PIR.protein
PVP01_0001960,N/A,PIR.protein
PVP01_0001970,N/A,"PIR.protein,.pseudogene"
PVP01_0001980,N/A,PIR.protein
PVP01_0001990,N/A,PIR.protein
PVP01_0002000,N/A,PIR.protein
PVP01_0002010,N/A,PIR.protein
PVP01_0002020,N/A,PIR.protein
PVP01_0002030,N/A,"PIR.protein,.pseudogene"
PVP01_0002040,N/A,PIR.protein
PVP01_0002050,N/A,PIR.protein
PVP01_0002060,N/A,"PEP,UF,.pseudogene"
PVP01_0002070,N/A,"PEP,UF,.pseudogene"
PVP01_0002080,N/A,"PEP,UF"
PVP01_0002090,N/A,PIR.protein
PVP01_0002100,N/A,PIR.protein
PVP01_0002110,N/A,PIR.protein
PVP01_0002120,N/A,PIR.protein
PVP01_0002130,N/A,PIR.protein
PVP01_0002140,N/A,PIR.protein
PVP01_0002150,N/A,PIR.protein
PVP01_0002160,N/A,"PEP,UF"
PVP01_0002170,N/A,"PEP,UF"
PVP01_0002180,N/A,PIR.protein
PVP01_0002190,N/A,"PIR.protein,.pseudogene"
PVP01_0002200,N/A,PIR.protein
PVP01_0002210,N/A,PIR.protein
PVP01_0002220,N/A,hypothetical.protein
PVP01_0002230,N/A,hypothetical.protein
PVP01_0002240,N/A,PIR.protein
PVP01_0002250,N/A,"PEP,UF,.pseudogene"
PVP01_0002260,N/A,"PEP,UF"
PVP01_0002270,N/A,"PEP,UF"
PVP01_0002280,N/A,"PEP,UF"
PVP01_0002290,N/A,PIR.protein
PVP01_0002300,N/A,PIR.protein
PVP01_0002310,N/A,PIR.protein
PVP01_0002320,N/A,PIR.protein
PVP01_0002330,N/A,PIR.protein
PVP01_0002340,N/A,"PEP,UF"
PVP01_0002350,N/A,"PEP,UF"
PVP01_0002360,N/A,PIR.protein
PVP01_0002370,N/A,PIR.protein
PVP01_0002380,N/A,PIR.protein
PVP01_0002390,N/A,PIR.protein
PVP01_0002400,N/A,PIR.protein
PVP01_0002410,N/A,PIR.protein
PVP01_0002420,N/A,PIR.protein
PVP01_0002430,N/A,PIR.protein
PVP01_0002440,N/A,PIR.protein
PVP01_0002450,N/A,"PEP,UF"
PVP01_0002460,N/A,"PEP,UF"
PVP01_0002470,N/A,"PEP,UF"
PVP01_0002480,N/A,PIR.protein
PVP01_0002490,N/A,PIR.protein
PVP01_0002500,N/A,PIR.protein
PVP01_0002510,N/A,PIR.protein
PVP01_0002520,N/A,"PEP,UF,.pseudogene"
PVP01_0002530,N/A,PIR.protein
PVP01_0002540,N/A,PIR.protein
PVP01_0002550,N/A,"PEP,UF"
PVP01_0002560,N/A,"PEP,UF,.pseudogene"
PVP01_0002570,N/A,"PEP,UF"
PVP01_0002580,N/A,"PEP,UF"
PVP01_0002590,N/A,"PEP,UF,.pseudogene"
PVP01_0002600,N/A,"PEP,UF"
PVP01_0002610,N/A,"PEP,UF"
PVP01_0002620,N/A,"PEP,UF"
PVP01_0002630,N/A,"PEP,UF"
PVP01_0002640,N/A,"PEP,UF"
PVP01_0002650,N/A,"PEP,UF"
PVP01_0002660,N/A,"PEP,UF"
PVP01_0002670,N/A,"PEP,UF"
PVP01_0002680,N/A,"PEP,UF"
PVP01_0002690,N/A,"PEP,UF"
PVP01_0002700,N/A,"PEP,UF"
PVP01_0002710,N/A,PIR.protein
PVP01_0002720,N/A,PIR.protein
PVP01_0002730,N/A,"PIR.protein,.pseudogene"
PVP01_0002740,N/A,PIR.protein
PVP01_0002750,N/A,PIR.protein
PVP01_0002760,N/A,PIR.protein
PVP01_0002770,N/A,"PEP,UF"
PVP01_0002780,N/A,"PEP,UF,.pseudogene"
PVP01_0002790,N/A,PIR.protein
PVP01_0002800,N/A,"PIR.protein,.fragment"
PVP01_0002810,N/A,PIR.protein
PVP01_0002820,N/A,PIR.protein
PVP01_0002830,N/A,PIR.protein
PVP01_0002840,N/A,PIR.protein
PVP01_0002850,N/A,PIR.protein
PVP01_0002860,N/A,PIR.protein
PVP01_0002870,N/A,"PEP,UF"
PVP01_0002880,N/A,PIR.protein
PVP01_0002890,N/A,PIR.protein
PVP01_0002900,N/A,PIR.protein
PVP01_0002910,N/A,PIR.protein
PVP01_0002920,N/A,PIR.protein
PVP01_0002930,N/A,PIR.protein
PVP01_0002940,N/A,PIR.protein
PVP01_0002950,N/A,PIR.protein
PVP01_0002960,N/A,"PEP,UF"
PVP01_0002970,N/A,"PEP,UF"
PVP01_0002980,N/A,"PEP,UF"
PVP01_0002990,N/A,"PEP,UF"
PVP01_0003000,N/A,PIR.protein
PVP01_0003010,N/A,PIR.protein
PVP01_0003020,N/A,PIR.protein
PVP01_0003030,N/A,PIR.protein
PVP01_0003040,N/A,PIR.protein
PVP01_0003050,N/A,PIR.protein
PVP01_0003060,N/A,PIR.protein
PVP01_0003070,N/A,PIR.protein
PVP01_0003080,N/A,PIR.protein
PVP01_0003090,N/A,PIR.protein
PVP01_0003100,N/A,PIR.protein
PVP01_0003110,N/A,"PEP,UF"
PVP01_0003120,N/A,"PEP,UF"
PVP01_0003130,N/A,PIR.protein
PVP01_0003140,N/A,PIR.protein
PVP01_0003150,N/A,PIR.protein
PVP01_0003160,N/A,"PEP,UF"
PVP01_0003170,N/A,"PEP,UF"
PVP01_0003180,N/A,"PEP,UF"
PVP01_0003190,N/A,"PEP,UF"
PVP01_0003200,N/A,"PEP,UF"
PVP01_0003210,N/A,PIR.protein
PVP01_0003220,N/A,PIR.protein
PVP01_0003230,N/A,PIR.protein
PVP01_0003240,N/A,PIR.protein
PVP01_0003250,N/A,PIR.protein
PVP01_0003260,N/A,PIR.protein
PVP01_0003270,N/A,PIR.protein
PVP01_0003280,N/A,PIR.protein
PVP01_0003290,N/A,PIR.protein
PVP01_0003300,N/A,"PEP,UF"
PVP01_0003310,N/A,"PEP,UF,.pseudogene"
PVP01_0003320,N/A,PIR.protein
PVP01_0003330,N/A,PIR.protein
PVP01_0003340,N/A,"PEP,UF"
PVP01_0003350,N/A,PIR.protein
PVP01_0003360,N/A,PIR.protein
PVP01_0003370,N/A,"PIR.protein,.fragment"
PVP01_0003380,N/A,PIR.protein
PVP01_0003390,N/A,PIR.protein
PVP01_0003400,N/A,PIR.protein
PVP01_0003410,N/A,"PIR.protein,.pseudogene"
PVP01_0003420,N/A,"PIR.protein,.pseudogene"
PVP01_0003430,N/A,PIR.protein
PVP01_0003440,N/A,PIR.protein
PVP01_0003450,N/A,"PEP,UF"
PVP01_0003460,N/A,"PEP,UF"
PVP01_0003470,N/A,"PEP,UF"
PVP01_0003480,N/A,PIR.protein
PVP01_0003490,N/A,PIR.protein
PVP01_0003500,N/A,PIR.protein
PVP01_0003510,N/A,PIR.protein
PVP01_0003520,N/A,PIR.protein
PVP01_0003530,N/A,PIR.protein
PVP01_0003540,N/A,PIR.protein
PVP01_0003550,N/A,"PEP,UF"
PVP01_0003560,N/A,PIR.protein
PVP01_0003570,N/A,PIR.protein
PVP01_0003580,N/A,"PIR.protein,.pseudogene"
PVP01_0003590,N/A,"PIR.protein,.pseudogene"
PVP01_0003600,N/A,"PIR.protein,.pseudogene"
PVP01_0003610,N/A,PIR.protein
PVP01_0003620,N/A,PIR.protein
PVP01_0003630,N/A,PIR.protein
PVP01_0003640,N/A,PIR.protein
PVP01_0003650,N/A,PIR.protein
PVP01_0003660,N/A,PIR.protein
PVP01_0003670,N/A,PIR.protein
PVP01_0003680,N/A,PIR.protein
PVP01_0003690,N/A,PIR.protein
PVP01_0003700,N/A,PIR.protein
PVP01_0003710,N/A,PIR.protein
PVP01_0003720,N/A,PIR.protein
PVP01_0003730,N/A,PIR.protein
PVP01_0003740,N/A,PIR.protein
PVP01_0003750,N/A,PIR.protein
PVP01_0003760,N/A,PIR.protein
PVP01_0003770,N/A,PIR.protein
PVP01_0003780,N/A,PIR.protein
PVP01_0003790,N/A,PIR.protein
PVP01_0003800,N/A,PIR.protein
PVP01_0003810,N/A,PIR.protein
PVP01_0003820,N/A,PIR.protein
PVP01_0003830,N/A,PIR.protein
PVP01_0003840,N/A,PIR.protein
PVP01_0003850,N/A,PIR.protein
PVP01_0003860,N/A,PIR.protein
PVP01_0003870,N/A,"PEP,UF"
PVP01_0003880,N/A,PIR.protein
PVP01_0003890,N/A,PIR.protein
PVP01_0003900,N/A,PIR.protein
PVP01_0003910,N/A,PIR.protein
PVP01_0003920,N/A,PIR.protein
PVP01_0003930,N/A,PIR.protein
PVP01_0003940,N/A,PIR.protein
PVP01_0003950,N/A,PIR.protein
PVP01_0003960,N/A,"PIR.protein,.pseudogene"
PVP01_0003970,N/A,PIR.protein
PVP01_0003980,N/A,PIR.protein
PVP01_0003990,N/A,"PEP,UF"
PVP01_0004000,N/A,"PEP,UF"
PVP01_0004010,N/A,PIR.protein
PVP01_0004020,N/A,PIR.protein
PVP01_0004030,N/A,PIR.protein
PVP01_0004040,N/A,"PIR.protein,.pseudogene"
PVP01_0004050,N/A,"PIR.protein,.pseudogene"
PVP01_0004060,N/A,PIR.protein
PVP01_0004070,N/A,PIR.protein
PVP01_0004080,N/A,PIR.protein
PVP01_0004090,N/A,PIR.protein
PVP01_0004100,N/A,PIR.protein
PVP01_0004110,N/A,PIR.protein
PVP01_0004120,N/A,PIR.protein
PVP01_0004130,N/A,PIR.protein
PVP01_0004140,N/A,PIR.protein
PVP01_0004150,N/A,PIR.protein
PVP01_0004160,N/A,PIR.protein
PVP01_0004170,N/A,PIR.protein
PVP01_0004180,N/A,PIR.protein
PVP01_0004190,N/A,PIR.protein
PVP01_0004200,N/A,PIR.protein
PVP01_0004210,ETRAMP,early.transcribed.membrane.protein
PVP01_0004220,N/A,"Plasmodium.exported.protein.(PHISTc),.unknown.function"
PVP01_0004230,N/A,"CPP,UF"
PVP01_0004240,RBSA,reticulocyte.binding.surface.protein.RBSA
PVP01_0004250,N/A,hypothetical.protein
PVP01_0004260,N/A,hypothetical.protein
PVP01_0004270,N/A,"hypothetical.protein,.pseudogene"
PVP01_0004275,,
PVP01_0004280,N/A,"PEP,UF"
PVP01_0004290,N/A,"PEP,UF"
PVP01_0004300,N/A,"PEP,UF"
PVP01_0004310,N/A,PIR.protein
PVP01_0004320,N/A,PIR.protein
PVP01_0004330,N/A,PIR.protein
PVP01_0004340,N/A,PIR.protein
PVP01_0004350,N/A,PIR.protein
PVP01_0004360,N/A,PIR.protein
PVP01_0004370,N/A,PIR.protein
PVP01_0004380,N/A,PIR.protein
PVP01_0004390,N/A,PIR.protein
PVP01_0004400,N/A,PIR.protein
PVP01_0004410,N/A,PIR.protein
PVP01_0004420,N/A,PIR.protein
PVP01_0004430,N/A,PIR.protein
PVP01_0004440,N/A,PIR.protein
PVP01_0004450,N/A,PIR.protein
PVP01_0004460,N/A,PIR.protein
PVP01_0004470,N/A,"PIR.protein,.pseudogene"
PVP01_0004480,N/A,PIR.protein
PVP01_0004490,N/A,PIR.protein
PVP01_0004500,N/A,PIR.protein
PVP01_0004510,N/A,"PEP,UF"
PVP01_0004520,N/A,"PEP,UF"
PVP01_0004530,N/A,"PEP,UF,.pseudogene"
PVP01_0004540,N/A,PIR.protein
PVP01_0004550,N/A,PIR.protein
PVP01_0004560,N/A,PIR.protein
PVP01_0004570,N/A,"PIR.protein,.pseudogene"
PVP01_0004580,N/A,PIR.protein
PVP01_0004590,N/A,PIR.protein
PVP01_0004600,N/A,PIR.protein
PVP01_0004610,N/A,PIR.protein
PVP01_0004620,N/A,PIR.protein
PVP01_0004630,N/A,PIR.protein
PVP01_0004640,N/A,"PIR.protein,.pseudogene"
PVP01_0004650,N/A,PIR.protein
PVP01_0004660,N/A,PIR.protein
PVP01_0004670,N/A,PIR.protein
PVP01_0004680,N/A,PIR.protein
PVP01_0004690,N/A,PIR.protein
PVP01_0004700,N/A,PIR.protein
PVP01_0004710,N/A,PIR.protein
PVP01_0004720,N/A,PIR.protein
PVP01_0004730,N/A,PIR.protein
PVP01_0004740,N/A,PIR.protein
PVP01_0004750,N/A,PIR.protein
PVP01_0004760,N/A,PIR.protein
PVP01_0004770,N/A,"PEP,UF"
PVP01_0004780,N/A,"PEP,UF"
PVP01_0004790,N/A,"PEP,UF"
PVP01_0004800,N/A,PIR.protein
PVP01_0004810,N/A,PIR.protein
PVP01_0004820,N/A,PIR.protein
PVP01_0004830,N/A,PIR.protein
PVP01_0004840,N/A,PIR.protein
PVP01_0004850,N/A,"PEP,UF"
PVP01_0004860,N/A,"PEP,UF"
PVP01_0004870,N/A,"PEP,UF"
PVP01_0004880,N/A,PIR.protein
PVP01_0004890,N/A,PIR.protein
PVP01_0004900,N/A,"PEP,UF"
PVP01_0004910,N/A,PIR.protein
PVP01_0004920,N/A,PIR.protein
PVP01_0004930,N/A,"PIR.protein,.pseudogene"
PVP01_0004940,N/A,"PEP,UF"
PVP01_0004950,N/A,PIR.protein
PVP01_0004960,N/A,PIR.protein
PVP01_0004970,N/A,"PEP,UF"
PVP01_0004980,N/A,"PEP,UF"
PVP01_0004990,N/A,PIR.protein
PVP01_0005000,N/A,PIR.protein
PVP01_0005010,N/A,PIR.protein
PVP01_0005020,N/A,PIR.protein
PVP01_0005030,N/A,PIR.protein
PVP01_0005040,N/A,PIR.protein
PVP01_0005050,N/A,"PEP,UF"
PVP01_0005060,N/A,"PEP,UF"
PVP01_0005070,N/A,"PEP,UF"
PVP01_0005080,N/A,"PEP,UF"
PVP01_0005090,N/A,"PEP,UF"
PVP01_0005100,N/A,"PEP,UF"
PVP01_0005110,N/A,"PEP,UF"
PVP01_0005120,N/A,"PEP,UF"
PVP01_0005130,N/A,"PEP,UF"
PVP01_0005140,N/A,"PEP,UF"
PVP01_0005150,N/A,"PEP,UF,.pseudogene"
PVP01_0005160,N/A,PIR.protein
PVP01_0005170,N/A,PIR.protein
PVP01_0005180,N/A,PIR.protein
PVP01_0005190,N/A,PIR.protein
PVP01_0005200,N/A,PIR.protein
PVP01_0005210,N/A,PIR.protein
PVP01_0005220,N/A,PIR.protein
PVP01_0005230,N/A,PIR.protein
PVP01_0005240,N/A,PIR.protein
PVP01_0005250,N/A,PIR.protein
PVP01_0005260,N/A,"PIR.protein,.pseudogene"
PVP01_0005270,N/A,PIR.protein
PVP01_0005280,N/A,PIR.protein
PVP01_0005290,N/A,PIR.protein
PVP01_0005300,N/A,PIR.protein
PVP01_0005310,N/A,PIR.protein
PVP01_0005320,N/A,PIR.protein
PVP01_0005330,N/A,PIR.protein
PVP01_0005340,N/A,PIR.protein
PVP01_0005350,N/A,PIR.protein
PVP01_0005360,N/A,"PEP,UF"
PVP01_0005370,N/A,"PEP,UF"
PVP01_0005380,N/A,"PEP,UF"
PVP01_0005390,N/A,"PIR.protein,.pseudogene"
PVP01_0005400,N/A,"PIR.protein,.fragment"
PVP01_0005410,N/A,PIR.protein
PVP01_0005420,N/A,PIR.protein
PVP01_0005430,N/A,PIR.protein
PVP01_0005440,N/A,"PEP,UF"
PVP01_0005450,N/A,"PEP,UF"
PVP01_0005460,N/A,PIR.protein
PVP01_0005470,N/A,"PEP,UF,.pseudogene"
PVP01_0005480,N/A,"PEP,UF"
PVP01_0005490,N/A,"PEP,UF"
PVP01_0005500,N/A,PIR.protein
PVP01_0005510,N/A,PIR.protein
PVP01_0005520,N/A,PIR.protein
PVP01_0005530,N/A,PIR.protein
PVP01_0005540,N/A,PIR.protein
PVP01_0005550,N/A,PIR.protein
PVP01_0005560,N/A,PIR.protein
PVP01_0005570,N/A,PIR.protein
PVP01_0005580,N/A,"PEP,UF"
PVP01_0005590,N/A,"PEP,UF"
PVP01_0005600,N/A,"PEP,UF"
PVP01_0005610,N/A,"PEP,UF"
PVP01_0005620,N/A,"PEP,UF"
PVP01_0005630,N/A,PIR.protein
PVP01_0005640,N/A,PIR.protein
PVP01_0005650,N/A,PIR.protein
PVP01_0005660,N/A,"PIR.protein,.pseudogene"
PVP01_0005670,N/A,PIR.protein
PVP01_0005680,N/A,PIR.protein
PVP01_0005690,N/A,PIR.protein
PVP01_0005700,N/A,"PEP,UF"
PVP01_0005710,N/A,STP1.protein
PVP01_0005720,N/A,PIR.protein
PVP01_0005730,N/A,"PIR.protein,.fragment"
PVP01_0005740,N/A,PIR.protein
PVP01_0005750,N/A,"PIR.protein,.pseudogene"
PVP01_0005760,N/A,PIR.protein
PVP01_0005770,N/A,PIR.protein
PVP01_0005780,N/A,PIR.protein
PVP01_0005790,N/A,"PIR.protein,.pseudogene"
PVP01_0005800,N/A,PIR.protein
PVP01_0005810,N/A,PIR.protein
PVP01_0005820,N/A,PIR.protein
PVP01_0005825,,
PVP01_0005830,N/A,PIR.protein
PVP01_0005840,N/A,PIR.protein
PVP01_0005850,N/A,PIR.protein
PVP01_0005860,N/A,PIR.protein
PVP01_0005870,N/A,PIR.protein
PVP01_0005880,N/A,PIR.protein
PVP01_0005890,N/A,PIR.protein
PVP01_0005900,N/A,PIR.protein
PVP01_0005910,N/A,PIR.protein
PVP01_0005920,N/A,"PIR.protein,.fragment"
PVP01_0005930,N/A,PIR.protein
PVP01_0005940,N/A,PIR.protein
PVP01_0005950,N/A,PIR.protein
PVP01_0005960,N/A,"PEP,UF"
PVP01_0005970,N/A,"PEP,UF"
PVP01_0005980,N/A,"PEP,UF"
PVP01_0005990,N/A,"PEP,UF"
PVP01_0006000,N/A,PIR.protein
PVP01_0006010,N/A,PIR.protein
PVP01_0006020,N/A,PIR.protein
PVP01_0006030,N/A,PIR.protein
PVP01_0006040,N/A,PIR.protein
PVP01_0006050,N/A,PIR.protein
PVP01_0006060,N/A,PIR.protein
PVP01_0006070,N/A,PIR.protein
PVP01_0006080,N/A,PIR.protein
PVP01_0006090,N/A,PIR.protein
PVP01_0006100,N/A,PIR.protein
PVP01_0006110,N/A,PIR.protein
PVP01_0006120,N/A,"PEP,UF"
PVP01_0006130,N/A,PIR.protein
PVP01_0006140,N/A,"PIR.protein,.pseudogene"
PVP01_0006150,N/A,PIR.protein
PVP01_0006160,N/A,"PEP,UF"
PVP01_0006170,N/A,"PEP,UF"
PVP01_0006180,N/A,"PEP,UF"
PVP01_0006190,N/A,"PEP,UF"
PVP01_0006200,N/A,"PEP,UF"
PVP01_0006210,N/A,"PEP,UF"
PVP01_0006220,N/A,"PEP,UF"
PVP01_0006230,N/A,"PEP,UF"
PVP01_0006240,N/A,"PEP,UF"
PVP01_0006250,N/A,"PEP,UF"
PVP01_0006260,N/A,PIR.protein
PVP01_0006270,N/A,PIR.protein
PVP01_0006280,N/A,PIR.protein
PVP01_0006290,N/A,PIR.protein
PVP01_0006300,N/A,PIR.protein
PVP01_0006310,N/A,"PIR.protein,.pseudogene"
PVP01_0006320,N/A,"PEP,UF"
PVP01_0006330,N/A,"PEP,UF"
PVP01_0006340,N/A,PIR.protein
PVP01_0006350,N/A,"PEP,UF"
PVP01_0006360,N/A,"PIR.protein,.pseudogene"
PVP01_0006370,N/A,PIR.protein
PVP01_0006380,N/A,PIR.protein
PVP01_0006390,N/A,PIR.protein
PVP01_0006400,N/A,"PIR.protein,.pseudogene"
PVP01_0006410,N/A,PIR.protein
PVP01_0006420,N/A,PIR.protein
PVP01_0006430,N/A,PIR.protein
PVP01_0006440,N/A,PIR.protein
PVP01_0006450,N/A,"PEP,UF"
PVP01_0006460,N/A,PIR.protein
PVP01_0006470,N/A,PIR.protein
PVP01_0006480,N/A,PIR.protein
